HomeTeamId,AwayTeamId,MatchDate,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals
10605,10588,2019-11-11 22:00:00.0000000,1,1,D
10632,10638,2019-11-11 22:00:00.0000000,0,1,A
10615,10592,2019-11-13 22:00:00.0000000,7,1,H
10631,10638,2019-11-26 22:00:00.0000000,1,0,H
10628,10593,2019-11-28 18:00:00.0000000,3,2,H
10613,10604,2019-11-29 16:00:00.0000000,2,1,H
10640,10630,2019-11-29 22:00:00.0000000,3,3,D
10623,10636,2019-11-29 22:00:00.0000000,2,0,H
10632,10616,2019-11-29 22:00:00.0000000,6,0,H
10619,10600,2019-11-30 17:00:00.0000000,0,1,A
10584,10624,2019-12-02 17:00:00.0000000,1,5,A
10610,10590,2019-12-02 22:00:00.0000000,4,0,H
10623,10601,2019-11-10 15:00:00.0000000,3,4,A
10611,10634,2019-12-02 22:00:00.0000000,0,2,A
10618,10601,2019-12-02 22:00:00.0000000,3,0,H
10615,10586,2019-12-02 22:00:00.0000000,5,1,H
10588,10626,2019-12-02 22:00:00.0000000,1,1,D
10612,10626,2019-11-10 15:00:00.0000000,1,2,A
10611,10590,2019-11-09 16:00:00.0000000,3,1,H
10620,10586,2019-11-09 16:00:00.0000000,2,1,H
10588,10637,2019-09-09 21:00:00.0000000,4,0,H
19758,10631,2019-09-10 17:00:00.0000000,0,2,A
19757,10640,2019-09-10 18:00:00.0000000,1,3,A
10636,19756,2019-09-12 21:00:00.0000000,2,0,H
10638,10616,2019-09-24 22:00:00.0000000,1,0,H
10636,10601,2019-10-03 21:00:00.0000000,1,1,D
10631,10632,2019-10-03 21:00:00.0000000,3,0,H
10593,10619,2019-10-04 15:00:00.0000000,1,2,A
10640,10627,2019-10-04 21:00:00.0000000,0,2,A
10602,10630,2019-10-04 21:00:00.0000000,0,1,A
10592,10586,2019-10-04 21:30:00.0000000,0,0,D
10634,10590,2019-10-05 13:00:00.0000000,1,0,H
10611,10610,2019-10-05 17:00:00.0000000,1,1,D
10623,10618,2019-10-06 13:00:00.0000000,2,1,H
10624,10604,2019-10-06 15:00:00.0000000,1,1,D
10626,10605,2019-10-06 17:00:00.0000000,3,2,H
10628,10600,2019-10-07 17:00:00.0000000,2,2,D
10588,10612,2019-10-07 21:00:00.0000000,0,0,D
10615,10620,2019-10-07 21:00:00.0000000,1,2,A
10584,10613,2019-10-17 15:00:00.0000000,1,3,A
10604,10584,2019-11-07 16:00:00.0000000,2,2,D
10600,10593,2019-11-07 22:00:00.0000000,0,1,A
10630,10627,2019-11-08 15:00:00.0000000,0,1,A
10628,10619,2019-11-08 18:00:00.0000000,1,0,H
10634,10610,2019-11-08 22:00:00.0000000,2,2,D
10613,10624,2019-11-08 22:00:00.0000000,3,1,H
